ID,Age,StudyHours,Attendance,Assignments,ExamScore
1,20,4,85,8,72
2,21,6,92,9,85
3,19,3,78,7,65
4,22,7,95,10,91
5,20,5,88,8,78
6,23,8,97,10,94
7,21,4,82,7,70
8,19,6,90,9,83
9,22,5,86,8,76
10,20,7,94,10,89
11,21,3,75,6,62
12,23,6,91,9,84
13,19,4,80,7,68
14,22,8,98,10,96
15,20,5,87,8,77
16,21,6,93,9,86
17,23,7,95,10,92
18,19,3,76,6,61
19,22,5,89,8,79
20,20,4,83,7,71
21,21,7,94,9,88
22,23,8,97,10,95
23,19,5,84,8,74
24,22,6,91,9,85
25,20,3,77,6,64
26,21,5,88,8,76
27,23,7,96,10,93
28,19,4,81,7,69
29,22,6,90,9,84
30,20,5,86,8,75
31,21,8,98,10,97
32,23,6,92,9,87
33,19,3,74,6,60
34,22,7,95,10,91
35,20,4,82,7,70
36,21,6,89,9,82
37,23,8,99,10,98
38,19,5,85,8,73
39,22,4,80,7,68
40,20,7,93,9,88
41,21,5,87,8,77
42,23,6,94,10,90
43,19,3,72,5,58
44,22,8,97,10,95
45,20,5,86,8,76
46,21,7,92,9,87
47,23,4,84,7,73
48,19,6,89,9,81
49,22,5,88,8,79
50,20,8,96,10,94
51,21,4,83,7,70
52,23,7,95,10,92
53,19,5,81,8,71
54,22,6,90,9,84
55,20,3,76,6,63
56,21,8,97,10,96
57,23,5,89,8,82
58,19,4,79,7,67
59,22,7,94,9,89
60,20,6,88,8,78
61,21,5,85,8,75
62,23,8,98,10,97
63,19,3,73,6,59
64,22,6,91,9,86
65,20,4,84,7,72
66,21,7,93,10,90
67,23,6,96,9,91
68,19,5,82,8,70
69,22,8,99,10,98
70,20,3,75,6,62
71,21,6,90,9,84
72,23,7,95,10,93
73,19,4,80,7,68
74,22,5,87,8,77
75,20,8,97,10,95
76,21,4,83,7,71
77,23,6,92,9,88
78,19,5,85,8,74
79,22,7,94,10,91
80,20,6,89,9,82
81,21,3,77,6,64
82,23,8,98,10,96
83,19,4,81,7,69
84,22,6,90,9,85
85,20,5,86,8,76
86,21,7,93,10,89
87,23,5,88,8,81
88,19,3,74,6,60
89,22,8,97,10,95
90,20,4,82,7,70
91,21,6,91,9,85
92,23,7,96,10,94
93,19,5,84,8,73
94,22,6,89,9,83
95,20,3,78,6,65
96,21,8,98,10,97
97,23,4,85,7,74
98,19,6,90,9,82
99,22,5,87,8,78
100,20,7,94,10,91
101,21,6,92,9,86
102,23,8,99,10,98
103,19,4,79,7,67
104,22,7,95,10,92
105,20,5,88,8,79
