CustomerID,Age,Annual_Income,Spending_Score,Membership,Visits_Per_Month
C001,19,15000,39,Bronze,3
C002,21,18000,81,Silver,5
C003,20,22000,6,Bronze,1
C004,23,25000,77,Gold,6
C005,31,30000,40,Bronze,2
C006,22,,76,Silver,4
C007,35,42000,6,Bronze,1
C008,23,45000,94,Platinum,8
C009,64,52000,3,Bronze,2
C010,30,55000,72,Silver,5
C011,,58000,14,Bronze,1
C012,35,62000,99,Platinum,9
C013,58,67000,15,Bronze,2
C014,24,70000,77,Silver,6
C015,37,73000,13,Bronze,3
C016,50,78000,26,Bronze,2
C017,27,82000,69,Gold,7
C018,36,87000,10,Bronze,1
C019,40,90000,88,Platinum,9
C020,49,95000,28,Gold,4
C021,28,102000,73,Gold,6
C022,59,105000,14,Bronze,2
C023,32,110000,93,Platinum,8
C024,47,115000,16,Silver,3
C025,38,185000,82,Platinum,7
